item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/03),"2,841",1일전 (01/02),"2,826",1주일전 (12/27),"2,758",2주일전 (12/20),"2,664",1개월전,"2,544",1년전,"3,316",일평년,"2,217",2023-01-03
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/03),-,1일전 (01/02),-,1주일전 (12/27),-,2주일전 (12/20),"3,428",1개월전,"3,907",1년전,"3,345",일평년,"3,917",2023-01-03
수박,221,수박(1개),0,상품,4,1개,당일 (01/03),-,1일전 (01/02),-,1주일전 (12/27),"23,956",2주일전 (12/20),"24,013",1개월전,"23,421",1년전,"23,562",일평년,"20,450",2023-01-03
수박,221,수박(1개),0,중품,5,1개,당일 (01/03),"23,797",1일전 (01/02),"23,639",1주일전 (12/27),"23,509",2주일전 (12/20),"23,118",1개월전,"22,553",1년전,"20,482",일평년,"17,732",2023-01-03
오이,223,가시계통(10개),1,상품,4,10개,당일 (01/03),"17,867",1일전 (01/02),"16,362",1주일전 (12/27),"15,170",2주일전 (12/20),"13,913",1개월전,"9,905",1년전,"14,572",일평년,"11,734",2023-01-03
오이,223,다다기계통(10개),2,상품,4,10개,당일 (01/03),"12,603",1일전 (01/02),"12,633",1주일전 (12/27),"12,060",2주일전 (12/20),"10,989",1개월전,"8,870",1년전,"11,814",일평년,"9,858",2023-01-03
오이,223,취청(10개),3,상품,4,10개,당일 (01/03),"16,729",1일전 (01/02),"16,412",1주일전 (12/27),"15,912",2주일전 (12/20),"13,864",1개월전,"10,705",1년전,"12,430",일평년,"10,509",2023-01-03
호박,224,애호박(1개),1,상품,4,1개,당일 (01/03),"2,267",1일전 (01/02),"2,254",1주일전 (12/27),"1,953",2주일전 (12/20),"1,687",1개월전,"1,160",1년전,"2,150",일평년,"1,691",2023-01-03
호박,224,애호박(1개),1,중품,5,1개,당일 (01/03),"1,702",1일전 (01/02),"1,655",1주일전 (12/27),"1,483",2주일전 (12/20),"1,209",1개월전,871,1년전,"1,513",일평년,"1,195",2023-01-03
호박,224,쥬키니(1개),2,상품,4,1개,당일 (01/03),"2,355",1일전 (01/02),"2,340",1주일전 (12/27),"2,134",2주일전 (12/20),"1,922",1개월전,"1,357",1년전,"1,941",일평년,"1,552",2023-01-03
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/03),"5,050",1일전 (01/02),"5,067",1주일전 (12/27),"4,958",2주일전 (12/20),"4,916",1개월전,"5,178",1년전,"6,745",일평년,"5,100",2023-01-03
딸기,226,딸기(100g),0,상품,4,100g,당일 (01/03),"2,234",1일전 (01/02),"2,259",1주일전 (12/27),"2,248",2주일전 (12/20),"2,119",1개월전,-,1년전,"2,686",일평년,"1,705",2023-01-03
딸기,226,딸기(100g),0,중품,5,100g,당일 (01/03),"1,729",1일전 (01/02),"1,735",1주일전 (12/27),-,2주일전 (12/20),-,1개월전,-,1년전,"2,223",일평년,"1,481",2023-01-03
무,231,월동(1개),6,상품,4,1개,당일 (01/03),"1,929",1일전 (01/02),"1,924",1주일전 (12/27),"1,906",2주일전 (12/20),"1,863",1개월전,-,1년전,"1,734",일평년,"1,666",2023-01-03
무,231,월동(1개),6,중품,5,1개,당일 (01/03),"1,756",1일전 (01/02),"1,748",1주일전 (12/27),"1,733",2주일전 (12/20),"1,616",1개월전,-,1년전,"1,600",일평년,"1,447",2023-01-03
당근,232,무세척(1kg),1,상품,4,1kg,당일 (01/03),"4,640",1일전 (01/02),"4,640",1주일전 (12/27),"4,225",2주일전 (12/20),"4,447",1개월전,"4,665",1년전,"3,056",일평년,"3,472",2023-01-03
