item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
전복,전복(5마리),중품,5마리,당일 (01/03),"17,449",1일전 (01/02),"17,449",1주일전 (12/27),"18,922",2주일전 (12/20),"17,982",1개월전,"16,721",1년전,"15,010",일평년,"15,802",2023-01-03,,,
새우,흰다리(수입)(10마리),중품,10마리,당일 (01/03),"4,793",1일전 (01/02),"4,789",1주일전 (12/27),"4,790",2주일전 (12/20),"4,799",1개월전,"4,700",1년전,"4,414",일평년,"4,657",2023-01-03,,,
고등어,국산(염장)(1마리),중품,2마리,당일 (01/04),"2,234",1일전 (01/03),"2,234",1주일전 (12/28),"2,202",2주일전 (12/21),"2,266",1개월전,"2,093",1년전,"1,893",일평년,"1,649",2023-01-04,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/04),"4,815",1일전 (01/03),"4,801",1주일전 (12/28),"4,541",2주일전 (12/21),"4,737",1개월전,"4,918",1년전,-,일평년,-,2023-01-04,,,
고등어,국산(냉동)(1마리),大,1마리,당일 (01/04),-,1일전 (01/03),-,1주일전 (12/28),"4,551",2주일전 (12/21),-,1개월전,-,1년전,-,일평년,-,2023-01-04,,,
꽁치,냉동(수입)(5마리),중품,5마리,당일 (01/04),"6,922",1일전 (01/03),"6,943",1주일전 (12/28),"6,922",2주일전 (12/21),"6,922",1개월전,"6,732",1년전,"6,194",일평년,"3,981",2023-01-04,,,
갈치,국산(냉장)(1마리),中,1마리,당일 (01/04),"8,719",1일전 (01/03),"8,732",1주일전 (12/28),"8,728",2주일전 (12/21),"8,858",1개월전,"8,997",1년전,-,일평년,-,2023-01-04,,,
갈치,국산(냉장)(1마리),小,1마리,당일 (01/04),"5,023",1일전 (01/03),"4,940",1주일전 (12/28),"5,024",2주일전 (12/21),"4,931",1개월전,"4,933",1년전,-,일평년,-,2023-01-04,,,
갈치,국산(냉동)(1마리),中,1마리,당일 (01/04),"5,548",1일전 (01/03),"5,626",1주일전 (12/28),"5,116",2주일전 (12/21),"5,479",1개월전,"5,861",1년전,-,일평년,-,2023-01-04,,,
조기,참조기(냉동)(1마리),中,1마리,당일 (01/04),"1,498",1일전 (01/03),"1,478",1주일전 (12/28),"1,240",2주일전 (12/21),"1,413",1개월전,"1,342",1년전,-,일평년,-,2023-01-04,,,
조기,참조기(냉동)(1마리),小,1마리,당일 (01/04),863,1일전 (01/03),878,1주일전 (12/28),875,2주일전 (12/21),764,1개월전,784,1년전,-,일평년,-,2023-01-04,,,
명태,냉동(원양수입통합)(1마리),大,1마리,당일 (01/04),"3,744",1일전 (01/03),"3,733",1주일전 (12/28),"3,741",2주일전 (12/21),"3,742",1개월전,"3,504",1년전,-,일평년,-,2023-01-04,,,
